 ,Time Point,Measurement#,Plane#,Equivalent Diameter,Spot Count,SpotIn Coords,SpotIn Dists,SpotOut Coords,SpotOut Dists
31,CT16,10,0010,4.58677009846,4,"[(148.209836945521, 127.405364645288, 11.0468870176356), (132.969277043556, 115.887317306173, 12.8341396354405), (157.30791483307, 150.904513300595, 7.8601947422418), (115.757188532795, 139.810384821586, 9.43974702911828)]","[28.1334675679423, 18.525889872331973, 8.114091614966684, 4.600391930705581]","[(314.007717540482, 300.64022654368, 10.0273786662415)]",[206.65734457006351]
32,CT16,10,0010,7.63146721597,4,"[(148.209836945521, 127.405364645288, 11.0468870176356), (132.969277043556, 115.887317306173, 12.8341396354405), (157.30791483307, 150.904513300595, 7.8601947422418), (115.757188532795, 139.810384821586, 9.43974702911828)]","[45.29713976105951, 46.91662322058467, 20.826552123064808, 26.53434541752181]","[(314.007717540482, 300.64022654368, 10.0273786662415)]",[187.4100915771299]
33,CT16,10,0009,4.79596621609,2,"[(314.007717540482, 300.64022654368, 10.0273786662415), (327.295306470871, 295.647178955156, 6.42674374478362)]","[3.412085280003051, 7.43229199114216]","[(148.209836945521, 127.405364645288, 11.0468870176356), (157.30791483307, 150.904513300595, 7.8601947422418), (130.710822502439, 96.1422674574207, 6.58750473844016), (115.757188532795, 139.810384821586, 9.43974702911828)]","[236.33974335895005, 213.24901295412076, 271.2045659902491, 251.69111733118865]"
34,CT16,10,0009,7.63789457042,2,"[(314.007717540482, 300.64022654368, 10.0273786662415), (327.295306470871, 295.647178955156, 6.42674374478362)]","[26.46412736448426, 25.16612469837277]","[(148.209836945521, 127.405364645288, 11.0468870176356), (157.30791483307, 150.904513300595, 7.8601947422418), (130.710822502439, 96.1422674574207, 6.58750473844016), (115.757188532795, 139.810384821586, 9.43974702911828)]","[211.09617568824632, 187.82412178900293, 246.01915944073588, 225.36853697188673]"
35,CT16,12,0015,5.88679162762,6,"[(200.240390816256, 206.045814084286, 13.6588030881389), (263.636827722723, 212.655134818513, 16.8415067781427), (228.855410586554, 163.983216866134, 17.3853830728125), (188.594174256495, 201.185976214061, 16.3110486812591), (231.523347301253, 203.529999250142, 15.780136147247), (231.539277484171, 223.566368759996, 12.9280648435629)]","[20.766035396712972, 5.548373139112835, 3.0281643467236052, 12.22762429064786, 27.600077373073507, 28.07786048621312]","[(175.128260971007, 125.663864389534, 14.0747867762613), (148.805412779129, 110.724146132429, 13.1101143016229)]","[41.42752600539753, 65.92489617146839]"
36,CT16,12,0015,10.4179786641,6,"[(200.240390816256, 206.045814084286, 13.6588030881389), (263.636827722723, 212.655134818513, 16.8415067781427), (228.855410586554, 163.983216866134, 17.3853830728125), (188.594174256495, 201.185976214061, 16.3110486812591), (231.523347301253, 203.529999250142, 15.780136147247), (231.539277484171, 223.566368759996, 12.9280648435629)]","[41.404655077055075, 24.938271035219714, 14.156450096606878, 36.120667624744755, 43.92228447233624, 57.88359387269159]","[(175.128260971007, 125.663864389534, 14.0747867762613), (148.805412779129, 110.724146132429, 13.1101143016229)]","[6.6853458899222975, 24.88973387006699]"
37,CT16,14,0011,4.81102085559,3,"[(216.158023767849, 238.665581751364, 13.9254065424848), (235.127727445816, 242.584751405387, 10.2332749176529), (236.320962790016, 233.721715986589, 11.4695347646201)]","[12.808964429994294, 31.52219031202042, 23.377863074580343]","[(111.119007403933, 115.961750216034, 13.3219645099926), (113.15596961177, 89.0178735013534, 8.86405833623871), (107.724907419147, 76.5773459211345, 11.8255034906629)]","[144.08911756502894, 163.3370948355115, 176.57829524067748]"
38,CT16,14,0011,7.65883052478,3,"[(216.158023767849, 238.665581751364, 13.9254065424848), (235.127727445816, 242.584751405387, 10.2332749176529), (236.320962790016, 233.721715986589, 11.4695347646201)]","[41.91186802427215, 50.54259444817043, 42.17453370445488]","[(111.119007403933, 115.961750216034, 13.3219645099926), (113.15596961177, 89.0178735013534, 8.86405833623871), (107.724907419147, 76.5773459211345, 11.8255034906629)]","[117.85799361081435, 137.4923842796508, 150.70325842649635]"
39,CT16,11,0012,5.57956528273,3,"[(110.067686068614, 114.695806439392, 12.5357234230314), (54.4886280310854, 48.1097760930457, 11.4174020789937), (114.144797792607, 107.981959072805, 12.1732243152287)]","[4.056560986110245, 9.53434929681757, 3.9005170892650556]",[],[]
40,CT16,11,0012,9.30075657185,3,"[(110.067686068614, 114.695806439392, 12.5357234230314), (54.4886280310854, 48.1097760930457, 11.4174020789937), (114.144797792607, 107.981959072805, 12.1732243152287)]","[30.500234568708283, 36.6000251572463, 25.822349156377065]",[],[]
