 ,Time Point,Measurement#,Plane#,Equivalent Diameter,Spot Count,SpotIn Coords,SpotIn Dists,SpotOut Coords,SpotOut Dists
84,CT4,25,0014,11.018219448,0,[],[],"[(319.041658864781, 88.952509983472, 14.0287726962692)]",[182.7474912707872]
85,CT4,25,0011,4.72708079335,1,"[(190.803556219867, 167.761860903769, 11.3344073672792)]",[0.5301178145554319],"[(265.623601452868, 183.392324776717, 10.4188176530893)]",[8.241411044200964]
86,CT4,25,0011,7.84803174861,2,"[(190.803556219867, 167.761860903769, 11.3344073672792), (265.623601452868, 183.392324776717, 10.4188176530893)]","[16.975163438083854, 10.40033368948221]",[],[]
87,CT4,10,0010,5.74043107076,2,"[(217.378238795516, 204.010979888607, 9.36464606535718), (230.123054027679, 208.867627456285, 10.1936898851273)]","[35.47781286229134, 30.054944362042708]","[(270.9515558066, 232.537505519966, 10.2251711493148), (191.581010430175, 140.511485058524, 10.1082536646996), (396.798018299461, 291.710981419186, 10.7575629639663)]","[9.501652691662377, 15.01693813104335, 146.02702414910902]"
88,CT4,10,0010,10.7929288182,4,"[(217.378238795516, 204.010979888607, 9.36464606535718), (270.9515558066, 232.537505519966, 10.2251711493148), (191.581010430175, 140.511485058524, 10.1082536646996), (230.123054027679, 208.867627456285, 10.1936898851273)]","[54.222195080805704, 11.42422206792295, 23.881586847470754, 56.74829031923104]","[(396.798018299461, 291.710981419186, 10.7575629639663)]",[110.63158470454803]
89,CT4,10,0013,6.33965726068,0,[],[],[],[]
90,CT4,10,0013,10.9215135891,0,[],[],[],[]
91,CT4,23,0019,4.55909617291,1,"[(245.574385417464, 285.739726609484, 19.0428760161666)]",[14.659345873286785],[],[]
92,CT4,23,0019,7.86414040754,1,"[(245.574385417464, 285.739726609484, 19.0428760161666)]",[43.00732848903115],[],[]
93,CT4,23,0010,4.57493034273,0,[],[],"[(246.389144923576, 280.27595051856, 9.82507000633469), (241.512176915653, 313.13583062926, 10.6624022658001)]","[176.64167468876457, 199.79961685711234]"
94,CT4,23,0010,7.43675833603,0,[],[],"[(246.389144923576, 280.27595051856, 9.82507000633469), (241.512176915653, 313.13583062926, 10.6624022658001)]","[148.43772890032682, 175.2523023391729]"
95,CT4,20,0021,5.3907554609,0,[],[],"[(85.7650944446846, 37.7145935986026, 20.4369005046782)]",[7.152607260486675]
96,CT4,20,0021,8.67341452068,1,"[(85.7650944446846, 37.7145935986026, 20.4369005046782)]",[13.220088213873014],[],[]
97,CT4,9,0008,4.84258992371,1,"[(102.707850891384, 196.087259684376, 8.3985083042204)]",[10.718804115727613],"[(174.009180056524, 199.288056027415, 8.30854804549344)]",[15.599261665488969]
98,CT4,9,0008,9.07076725754,2,"[(102.707850891384, 196.087259684376, 8.3985083042204), (174.009180056524, 199.288056027415, 8.30854804549344)]","[34.43392177719041, 21.004346607825294]",[],[]
99,CT4,16,0008,5.34987756034,0,[],[],"[(239.510821803603, 154.25553179227, 8.76272395716284), (232.820193036247, 139.022590126916, 8.71716291999405), (179.550870473654, 55.8454375148187, 8.62042454758705), (123.866855123215, 111.380539179405, 8.55572112441996), (209.558704333036, 202.512780052618, 7.37320420274149)]","[132.70021099037356, 121.56343701705255, 61.17382740092802, 9.396892897185156, 128.11626495197862]"
100,CT4,16,0008,8.87562466012,1,"[(123.866855123215, 111.380539179405, 8.55572112441996)]",[19.746001787169824],"[(239.510821803603, 154.25553179227, 8.76272395716284), (232.820193036247, 139.022590126916, 8.71716291999405), (179.550870473654, 55.8454375148187, 8.62042454758705), (209.558704333036, 202.512780052618, 7.37320420274149)]","[81.31265473731555, 74.85352299527558, 51.92025592445051, 61.9358090516325]"
